"Artsnavn","species","AMBI","AMBI_group"
"Mytilus edulis","Mytilus edulis",TRUE,3
"NEMATODA, Rundorme","Nematoda",TRUE,3
"NEPHTYIDAE","Nephtyidae",TRUE,2
"NEREIDIDAE","Nereididae",TRUE,0
"Natatolana borealis","Natatolana borealis",TRUE,2
"Nebalia bipes","Nebalia bipes",TRUE,5
"Nematoda indet.","Nematoda",TRUE,3
"Nemertini indet.","Nemertea",TRUE,3
"Neoamphitrite figulus","Neoamphitrite figulus",TRUE,1
"Neoamphitrite sp.","Neoamphitrite sp.",TRUE,1
"Nephtys assimilis","Nephtys assimilis",TRUE,2
"Nephtys caeca","Nephtys caeca",TRUE,2
"Nephtys ciliata","Nephtys ciliata",TRUE,2
"Nephtys cirrosa","Nephtys cirrosa",TRUE,2
"Nephtys hombergii","Nephtys hombergii",TRUE,2
"Nephtys incisa","Nephtys incisa",TRUE,2
"Nephtys longosetosa","Nephtys longosetosa",TRUE,2
"Nephtys pente","Nephtys pente",TRUE,2
"Nephtys sp.","Nephtys sp.",TRUE,2
"Nereididae indet.","Nereididae",TRUE,0
"Nereimyra punctata","Nereimyra punctata",TRUE,3
"Nereiphylla lutea","Nereiphylla lutea",TRUE,2
"Nicomache lumbricalis","Nicomache lumbricalis",TRUE,2
"Notomastus latericeus","Notomastus latericeus",TRUE,3
"Nucula nitidosa","Nucula nitidosa",TRUE,1
"Nuculana minuta","Nuculana minuta",TRUE,1
"Nudibranchia indet.","Nudibranchia",FALSE,
"OPHELIA","Ophelia sp.",TRUE,1
"ORCHOMENELLA","Orchomenella sp.",TRUE,2
"OSTRACODA, Muslingekrebs","Ostracoda",TRUE,0
"Oligochaeta indet.","Oligochaeta",TRUE,5
"Ophelia borealis","Ophelia borealis",TRUE,1
"Ophelia rathkei","Ophelia rathkei",TRUE,1
"Ophelina acuminata","Ophelina acuminata",TRUE,3
"Ophiodromus flexuosus","Ophiodromus flexuosus",TRUE,2
"Ophiura albida","Ophiura albida",TRUE,2
"Ophiura sp.","Ophiura sp.",TRUE,2
"Ophiura texturata","Ophiura texturata",TRUE,2
"Ophiuroidea indet.","Ophiuroidea",TRUE,2
"Orbinia sertulata","Orbinia sertulata",TRUE,1
"Orchomenella nana","Orchomenella nana",TRUE,2
"Ostracoda indet.","Ostracoda",TRUE,0
"Owenia fusiformis","Owenia fusiformis",TRUE,2
"PHORONIS","Phoronis sp.",TRUE,2
"PISCES","Pisces",FALSE,
"POLYCHAETA, Havbørsteorme","Polychaeta",FALSE,
"Pachycerianthus multiplicatus","Pachycerianthus multiplicatus",FALSE,
"Pagurus bernhardus","Pagurus bernhardus",TRUE,2
"Palaemon elegans","Palaemon elegans",TRUE,1
"Paramphinome jeffreysii","Paramphinome jeffreysii",TRUE,3
"Paraonidae indet.","Paraonidae",TRUE,2
"Paraonis fulgens","Paraonis fulgens",TRUE,3
"Pariambus typicus","Pariambus typicus",TRUE,3
"Parvicardium hauniense","Parvicardium hauniense",TRUE,1
"Parvicardium pinnulatum","Parvicardium pinnulatum",TRUE,1
"Parvicardium sp.","Parvicardium sp.",TRUE,1
"Pectinaria auricoma","Pectinaria auricoma",TRUE,1
"Pectinaria belgica","Pectinaria belgica",TRUE,1
"Pectinariidae indet.","Pectinariidae",TRUE,1
"Pennatula phosphorea","Pennatula phosphorea",TRUE,1
"Peringia ulvae","Peringia ulvae",TRUE,3
"Perioculodes longimanus","Perioculodes longimanus",TRUE,2
"Petaloproctus tenuis borealis","Petaloproctus borealis",TRUE,1
"Petricolaria pholadiformis","Petricolaria pholadiformis",TRUE,1
"Phascolion strombi","Phascolion strombus strombus",TRUE,2
"Phaxas pellucidus","Phaxas pellucidus",TRUE,1
"Pherusa plumosa","Pherusa plumosa",TRUE,3
"Philine aperta","Philine aperta",TRUE,2
"Philine catena","Philine catena",TRUE,2
"Philine sp.","Philine sp.",TRUE,2
"Pholoe baltica","Pholoe baltica",TRUE,1
"Pholoe inornata","Pholoe inornata",TRUE,2
"Pholoe pallida","Pholoe pallida",TRUE,1
"Pholoe sp.","Pholoe sp.",TRUE,2
"Phoronis muelleri","Phoronis muelleri",TRUE,2
"Phoronis sp.","Phoronis sp.",TRUE,2
"Photis longicaudata","Photis longicaudata",TRUE,1
"Photis reinhardi","Photis reinhardi",TRUE,1
"Phoxocephalus holboelli","Phoxocephalus holbolli",TRUE,1
"Phryganea grandis","Phryganea grandis",FALSE,
"Phthisica marina","Phtisica marina",TRUE,1
"Phyllodoce groenlandica","Phyllodoce groenlandica",TRUE,4
"Phyllodoce maculata","Phyllodoce maculata",TRUE,2
"Phyllodoce mucosa","Phyllodoce mucosa",TRUE,3
"Phyllodoce rosea","Phyllodoce rosea",TRUE,2
"Phyllodoce sp.","Phyllodoce sp.",TRUE,2
